time,x,y,z
0,1,1,1
0.01,1.012567191,1.259917799,0.984890972
0.02,1.04882371,1.523997131,0.97311422
0.03,1.107208854,1.79830989,0.965158951
0.04,1.186868017,2.088540142,0.961737225
0.05,1.287557057,2.400154464,0.963806064
0.06,1.409570658,2.738545614,0.97260817
0.07,1.553690062,3.109153968,0.989731122
0.08,1.72114638,3.517569455,1.017186524
0.09,1.913596203,3.96961501,1.057511855
0.1,2.133106543,4.471410648,1.113898918
0.11,2.382146258,5.029414949,1.190353727
0.12,2.66358091,5.650437905,1.2918935
0.13,2.980667579,6.341615447,1.424786877
0.14,3.337045331,7.110331233,1.596843332
0.15,3.736715794,7.964065219,1.817756522
0.16,4.184006534,8.910140801,2.099503254
0.17,4.683507458,9.955332873,2.456793619
0.18,5.239967325,11.10528811,2.907557028
0.19,5.858133453,12.36369719,3.473430965
0.2,6.542513104,13.73114882,4.180191224
0.21,7.297030108,15.20359151,5.058020856
0.22,8.124546154,16.77034002,6.141457117
0.23,9.026214597,18.41160096,7.468781221
0.24,10.0006389,20.09557648,9.080530966
0.25,11.04282287,21.77535826,11.01674104
0.26,12.14293225,23.38606783,13.31249121
0.27,13.28494453,24.84303577,15.99143936
0.28,14.44535036,26.04219586,19.05733294
0.29,15.59218235,26.86416864,22.48412519
0.3,16.68476348,27.18347314,26.20629733
0.31,17.67463919,26.88360584,30.11213497
0.32,18.50811306,25.87710555,34.04354909
0.33,19.13056847,24.12730309,37.80580894
0.34,19.49230571,21.66603959,41.18855567
0.35,19.55504068,18.60067371,43.99569238
0.36,19.29772266,15.10556107,46.07747481
0.37,18.72021153,11.39797559,47.35566867
0.38,17.84377602,7.704258412,47.83395409
0.39,16.70823398,4.225761245,47.59076769
0.4,15.36649854,1.113757572,46.75801525
0.41,13.87791406,-1.541669257,45.49332413
0.42,12.30184767,-3.709143662,43.95398203
0.43,10.6926188,-5.404206381,42.27805674
0.44,9.096259495,-6.673702328,40.57446333
0.45,7.549064835,-7.580828767,38.92079737
0.46,6.077561996,-8.193377576,37.3663547
0.47,4.699411654,-8.575906018,35.9376975
0.48,3.424792838,-8.785421215,34.64478036
0.49,2.257932674,-8.869676409,33.48646646
0.5,1.198564958,-8.867139001,32.4549326
0.51,0.243203795,-8.807869144,31.53889123
0.52,-0.613809417,-8.714781679,30.72577736
0.53,-1.379483645,-8.604970694,30.00312547
0.54,-2.061555926,-8.490927523,29.35936003
0.55,-2.668035905,-8.381580987,28.78418732
0.56,-3.206883387,-8.283145322,28.26873165
0.57,-3.685788465,-8.199789975,27.80551797
0.58,-4.112028738,-8.134157219,27.38836992
0.59,-4.492383158,-8.087755919,27.01226803
0.6,-4.833086626,-8.061257551,26.67319525
0.61,-5.139813265,-8.054716659,26.36798588
0.62,-5.417679353,-8.067733595,26.09418598
0.63,-5.671259239,-8.099573544,25.84992892
0.64,-5.904609409,-8.149252539,25.63382677
0.65,-6.121297192,-8.215598647,25.44487668
0.66,-6.324431602,-8.297294494,25.28238055
0.67,-6.51669459,-8.392905839,25.1458759
0.68,-6.700371521,-8.500899855,25.035076
0.69,-6.877380102,-8.619655951,24.94981713
0.7,-7.049297326,-8.74747148,24.89001143
0.71,-7.217384227,-8.88256423,24.85560369
0.72,-7.382608428,-9.023073391,24.84653097
0.73,-7.545664625,-9.167060445,24.86268419
0.74,-7.706993245,-9.312511316,24.90387101
0.75,-7.866797663,-9.457341007,24.96977985
0.76,-8.025060369,-9.599401807,25.05994492
0.77,-8.1815586,-9.736496051,25.17371275
0.78,-8.33587995,-9.866394225,25.31021082
0.79,-8.487438499,-9.986859009,25.46831915
0.8,-8.635491999,-10.09567556,25.64664612
0.81,-8.779160605,-10.19068801,25.8435099
0.82,-8.917447586,-10.26984172,26.05692694
0.83,-9.049262322,-10.3312304,26.28460914
0.84,-9.17344579,-10.37314673,26.52397101
0.85,-9.288798523,-10.39413455,26.77214817
0.86,-9.394110866,-10.3930403,27.02602781
0.87,-9.48819511,-10.3690611,27.28229147
0.88,-9.569918852,-10.32178657,27.53746956
0.89,-9.638238747,-10.25123136,27.78800654
0.9,-9.692233589,-10.15785603,28.03033466
0.91,-9.731135568,-10.04257381,28.26095351
0.92,-9.754358454,-9.906741831,28.47651212
0.93,-9.761521485,-9.752136336,28.6738896
0.94,-9.752467856,-9.580912098,28.85027067
0.95,-9.727276884,-9.395547647,29.00321218
0.96,-9.686269208,-9.198778668,29.13069731
0.97,-9.630004711,-8.993522825,29.23117496
0.98,-9.559273225,-8.782799803,29.30358283
0.99,-9.475078444,-8.569650591,29.34735342
1,-9.378615807,-8.357059955,29.36240375
1.01,-9.271245414,-8.147885652,29.34911016
1.02,-9.154461224,-7.944797299,29.30827057
1.03,-9.029857925,-7.750226982,29.24105703
1.04,-8.899096878,-7.566332799,29.14896168
1.05,-8.76387247,-7.394975636,29.03373941
1.06,-8.625880083,-7.237708655,28.89734998
1.07,-8.486786678,-7.095778324,28.7419023
1.08,-8.348204775,-6.970135328,28.5696029
1.09,-8.211670338,-6.861453387,28.38270994
1.1,-8.078624858,-6.77015392,28.18349393
1.11,-7.950401693,-6.69643449,27.97420525
1.12,-7.828216509,-6.64029915,27.75704875
1.13,-7.713161551,-6.601589041,27.53416484
1.14,-7.606203327,-6.580011848,27.30761653
1.15,-7.508183206,-6.575169081,27.07938167
1.16,-7.419820432,-6.586580371,26.85134944
1.17,-7.341716985,-6.613704295,26.6253204
1.18,-7.27436379,-6.655955428,26.40300903
1.19,-7.21814776,-6.712717555,26.18604817
1.2,-7.173359257,-6.783353078,25.9759946
1.21,-7.140199548,-6.867208805,25.77433512
1.22,-7.118787943,-6.963618352,25.58249264
1.23,-7.10916833,-7.071901467,25.40183181
1.24,-7.111314885,-7.191360605,25.23366372
1.25,-7.125136799,-7.321275098,25.07924945
1.26,-7.150481893,-7.460893294,24.93980206
1.27,-7.187139064,-7.609423037,24.81648678
1.28,-7.234839522,-7.766020879,24.71041906
1.29,-7.293256841,-7.92978044,24.62266045
1.3,-7.362005875,-8.099720364,24.55421178
1.31,-7.440640627,-8.274772351,24.50600379
1.32,-7.528651214,-8.453769814,24.47888474
1.33,-7.625460085,-8.635437752,24.4736052
1.34,-7.730417734,-8.818384507,24.49079974
1.35,-7.842798145,-9.001096137,24.53096583
1.36,-7.961794301,-9.181934188,24.59443997
1.37,-8.0865141,-9.359137698,24.68137168
1.38,-8.215977097,-9.530830257,24.79169563
1.39,-8.349112496,-9.695032944,24.92510309
