time,x,y,z
0,1,1,1
0.01,0.980367696,1.011913177,0.915753489
0.02,0.961423589,1.023657186,0.838604045
0.03,0.943101303,1.03523824,0.767972428
0.04,0.925339969,1.046661929,0.703324133
0.05,0.9080838,1.057933268,0.64416632
0.06,0.891281693,1.069056751,0.590044882
0.07,0.874886863,1.08003639,0.540541676
0.08,0.858856498,1.090875754,0.495271901
0.09,0.843151444,1.101578015,0.453881637
0.1,0.827735913,1.11214597,0.416045532
0.11,0.81257721,1.122582084,0.381464637
0.12,0.797645483,1.132888512,0.349864384
0.13,0.782913489,1.143067128,0.320992699
0.14,0.768356388,1.153119548,0.294618248
0.15,0.753951538,1.163047157,0.270528806
0.16,0.739678318,1.172851124,0.24852974
0.17,0.725517961,1.182532422,0.228442611
0.18,0.7114534,1.19209185,0.21010387
0.19,0.697469126,1.201530044,0.193363658
0.2,0.683551061,1.210847493,0.178084695
0.21,0.669686435,1.220044553,0.164141259
0.22,0.65586368,1.229121459,0.151418232
0.23,0.642072328,1.238078336,0.139810238
0.24,0.628302916,1.246915211,0.12922083
0.25,0.614546908,1.25563202,0.119561761
0.26,0.600796611,1.264228616,0.110752293
0.27,0.587045107,1.272704782,0.102718579
0.28,0.573286187,1.281060232,0.095393083
0.29,0.559514291,1.289294623,0.088714053
0.3,0.545724454,1.297407556,0.082625036
0.31,0.531912253,1.305398586,0.07707443
0.32,0.518073765,1.313267226,0.072015077
0.33,0.504205523,1.321012949,0.067403883
0.34,0.490304478,1.328635196,0.063201479
0.35,0.476367962,1.336133378,0.059371902
0.36,0.462393656,1.34350688,0.055882305
0.37,0.448379563,1.350755063,0.05270269
0.38,0.43432398,1.357877269,0.049805669
0.39,0.420225469,1.364872824,0.047166238
0.4,0.406082841,1.371741038,0.04476157
0.41,0.391895131,1.378481209,0.042570836
0.42,0.37766158,1.385092626,0.040575023
0.43,0.363381618,1.39157457,0.038756787
0.44,0.349054848,1.397926314,0.037100304
0.45,0.334681031,1.404147128,0.035591138
0.46,0.320260075,1.410236278,0.034216124
0.47,0.305792018,1.416193029,0.032963257
0.48,0.291277022,1.422016645,0.03182159
0.49,0.276715362,1.427706392,0.030781145
0.5,0.262107414,1.433261534,0.029832822
0.51,0.247453647,1.438681343,0.028968333
0.52,0.23275462,1.443965091,0.028180121
0.53,0.218010968,1.449112056,0.027461302
0.54,0.2032234,1.45412152,0.026805605
0.55,0.188392695,1.458992774,0.026207316
0.56,0.173519688,1.463725112,0.025661234
0.57,0.158605275,1.468317837,0.025162619
0.58,0.143650403,1.47277026,0.024707158
0.59,0.128656066,1.477081701,0.024290924
0.6,0.113623304,1.481251486,0.023910341
0.61,0.098553196,1.485278953,0.023562158
0.62,0.08344686,1.489163449,0.023243412
0.63,0.068305448,1.492904331,0.022951412
0.64,0.053130145,1.496500967,0.022683706
0.65,0.037922164,1.499952733,0.022438067
0.66,0.022682747,1.503259019,0.022212467
0.67,0.007413161,1.506419226,0.022005065
0.68,-0.007885305,1.509432765,0.021814185
0.69,-0.023211337,1.512299061,0.021638305
0.7,-0.038563605,1.515017549,0.02147604
0.71,-0.053940756,1.517587677,0.021326134
0.72,-0.069341422,1.520008907,0.021187444
0.73,-0.084764219,1.522280711,0.021058933
0.74,-0.100207746,1.524402576,0.020939658
0.75,-0.11567059,1.526374001,0.020828763
0.76,-0.131151323,1.5281945,0.020725473
0.77,-0.146648507,1.529863597,0.020629082
0.78,-0.162160692,1.531380833,0.020538949
0.79,-0.177686414,1.53274576,0.020454496
0.8,-0.193224205,1.533957946,0.020375194
0.81,-0.208772582,1.53501697,0.020300566
0.82,-0.224330058,1.535922429,0.020230179
0.83,-0.239895134,1.536673931,0.020163641
0.84,-0.255466306,1.537271099,0.020100595
0.85,-0.271042063,1.537713571,0.020040719
0.86,-0.286620885,1.538000998,0.019983721
0.87,-0.302201248,1.538133048,0.019929336
0.88,-0.317781621,1.538109402,0.019877324
0.89,-0.33336047,1.537929755,0.019827469
0.9,-0.348936251,1.537593817,0.019779575
0.91,-0.364507421,1.537101316,0.019733462
0.92,-0.38007243,1.53645199,0.019688971
0.93,-0.395629722,1.535645596,0.019645957
0.94,-0.411177741,1.534681904,0.019604288
0.95,-0.426714925,1.5335607,0.019563845
0.96,-0.44223971,1.532281785,0.019524521
0.97,-0.457750528,1.530844974,0.01948622
0.98,-0.47324581,1.5292501,0.019448853
0.99,-0.488723983,1.52749701,0.019412342
1,-0.504183472,1.525585566,0.019376617
1.01,-0.5196227,1.523515645,0.019341611
1.02,-0.53504009,1.521287141,0.019307269
1.03,-0.550434062,1.518899964,0.019273538
1.04,-0.565803033,1.516354037,0.019240371
1.05,-0.581145422,1.513649302,0.019207725
1.06,-0.596459646,1.510785714,0.019175564
1.07,-0.61174412,1.507763245,0.019143853
1.08,-0.62699726,1.504581883,0.019112561
1.09,-0.64221748,1.501241631,0.019081661
1.1,-0.657403197,1.497742509,0.01905113
1.11,-0.672552825,1.494084552,0.019020943
1.12,-0.687664779,1.490267811,0.018991083
1.13,-0.702737475,1.486292353,0.018961531
1.14,-0.717769329,1.482158261,0.018932272
1.15,-0.732758758,1.477865635,0.018903292
1.16,-0.74770418,1.473414589,0.018874579
1.17,-0.762604014,1.468805256,0.018846121
1.18,-0.777456681,1.464037782,0.018817909
1.19,-0.792260602,1.459112331,0.018789934
1.2,-0.807014201,1.454029082,0.018762189
1.21,-0.821715903,1.448788231,0.018734667
1.22,-0.836364135,1.44338999,0.018707363
1.23,-0.850957327,1.437834587,0.01868027
1.24,-0.86549391,1.432122266,0.018653385
1.25,-0.879972319,1.426253287,0.018626704
1.26,-0.894390989,1.420227927,0.018600223
1.27,-0.908748362,1.414046479,0.018573941
1.28,-0.923042879,1.407709252,0.018547854
1.29,-0.937272987,1.40121657,0.01852196
1.3,-0.951437133,1.394568775,0.018496259
1.31,-0.965533772,1.387766224,0.018470748
